generation,best,avg,worst
481,14201,15018,17895
482,14155,15020,18153
483,14152,15089,17957
484,14139,14995,18047
485,14085,14958,16738
486,14106,15074,18068
487,14134,14860,16600
488,14085,15041,18263
489,14169,14902,17427
490,14099,14920,17274
491,14109,14970,17976
492,14200,14911,17550
493,14173,14935,17916
494,14094,15000,17373
495,14149,14905,17337
496,14120,14932,17795
497,14148,15029,17946
498,14101,14897,17858
499,14094,14868,17373
500,14088,14905,17389
501,14103,14973,18102
502,14074,14963,17925
503,14072,14835,16821
504,14086,14738,16499
505,14072,14827,17916
506,14086,14895,17242
507,14132,14834,17819
508,14072,14859,17901
509,14125,14831,17771
510,14072,14864,16964
511,14072,14871,17901
512,14160,14929,17319
513,14110,14827,16386
514,14140,14844,17327
515,14118,15031,17454
516,14118,14938,17990
517,14126,14802,17052
518,14072,14952,18004
519,14072,14996,17953
520,14085,14841,17340
521,14115,14876,17043
522,14112,14962,16840
523,14158,15046,17988
524,14183,15004,16576
525,14210,15085,17877
526,14141,15028,17286
527,14144,14856,16692
528,14151,15051,17794
529,14102,14988,17860
530,14118,14857,17042
531,14112,14814,16968
532,14118,14882,17368
533,14171,14831,17374
534,14133,14905,17499
535,14114,14903,17901
536,14105,14892,17181
537,14114,14890,17910
538,14101,14925,18106
539,14089,15007,18266
540,14135,14884,17391
541,14072,14899,17696
542,14101,14868,16441
543,14112,14971,17426
544,14131,14984,18044
545,14154,14770,16462
546,14163,14956,17851
547,14151,14931,17787
548,14138,14827,16933
549,14144,15025,17485
550,14220,15004,17030
551,14166,14994,18274
552,14145,14909,17174
553,14166,15001,18003
554,14151,14887,16574
555,14101,14847,17502
556,14122,14897,17307
557,14108,14977,17363
558,14110,15009,17421
559,14101,14940,17643
560,14139,14958,16854
561,14154,15068,17910
562,14160,15045,17893
563,14173,14984,16983
564,14177,14929,16980
565,14176,15002,17314
566,14174,15067,17801
567,14144,15028,17931
568,14170,14902,17058
569,14144,14941,17154
570,14137,15045,17268
571,14127,14956,16648
572,14163,14870,16453
573,14130,15019,18254
574,14164,14949,17440
575,14130,14971,17424
576,14088,15013,17052
577,14124,14991,18214
578,14125,15069,17977
579,14126,14889,17478
580,14149,15042,18045
581,14142,14917,18067
582,14139,14845,16662
583,14153,14878,17951
584,14145,14916,17335
585,14123,15059,18047
586,14111,15071,18140
587,14123,14848,17119
588,14128,14949,17081
589,14130,15056,18058
590,14103,15098,18062
591,14123,14804,16685
592,14117,14952,17824
593,14128,14924,17044
594,14089,15069,17206
595,14183,14966,17383
596,14085,14996,17446
597,14085,14881,17534
598,14087,14970,17342
599,14091,14981,17929
600,14152,14957,17911
601,14152,14988,17406
602,14118,15011,18142
603,14103,14899,17032
604,14087,14846,17423
605,14128,14886,17985
606,14120,14977,17928
607,14126,14860,16955
608,14146,14961,17417
609,14170,14932,17258
610,14165,14957,17918
611,14133,14959,18057
612,14166,14908,18051
613,14108,14922,17977
614,14137,15013,16984
615,14108,14898,16786
616,14104,14808,16929
617,14137,14897,17815
618,14118,14975,17227
619,14139,14911,17874
620,14128,14884,17815
621,14141,15064,17514
622,14149,14949,18018
623,14088,14910,17215
624,14101,15004,17293
625,14129,14994,16870
626,14072,14927,17290
627,14099,14982,17893
628,14197,14827,16328
629,14110,14940,17171
630,14168,14984,17887
631,14147,14970,18046
632,14152,14957,18031
633,14147,14957,16783
634,14197,15061,17278
635,14123,15014,17501
636,14144,14937,16857
637,14128,14863,16736
638,14062,14798,18066
639,14148,14863,17042
640,14121,14922,17421
641,14160,14861,17112
642,14107,14903,16997
643,14133,14975,17236
644,14162,14969,17192
645,14181,15062,17478
646,14158,14981,17990
647,14160,14928,17096
648,14119,14995,17279
649,14115,14996,18117
650,14119,14766,16985
651,14112,14882,17373
652,14126,14926,17845
653,14104,14950,17033
654,14118,14955,18120
655,14099,14965,17451
656,14064,15029,17965
657,14104,14973,17829
658,14093,14927,17414
659,14144,14891,17268
660,14141,14832,17303
661,14128,14983,17821
662,14150,14994,17766
663,14089,15044,17880
664,14091,15068,18101
665,14165,14919,18038
666,14162,14951,17554
667,14121,15073,17892
668,14072,14969,17649
669,14163,15061,17976
670,14106,14979,17358
671,14102,14920,17865
672,14102,14755,16445
673,14104,14910,18157
674,14128,14982,17917
675,14104,14954,17133
676,14101,14896,17337
677,14134,14934,17946
678,14143,14994,17373
679,14104,14832,17486
680,14132,15080,18201
681,14087,15001,18033
682,14087,14884,17247
683,14146,14954,18059
684,14087,14941,17439
685,14109,14852,17335
686,14121,14899,17861
687,14140,14792,17530
688,14141,14896,17291
689,14088,14882,16808
690,14106,15054,17565
691,14103,14804,17423
692,14106,14917,16993
693,14123,15052,17829
694,14074,14867,17238
695,14104,14954,17911
696,14159,14853,18025
697,14172,15011,18033
698,14171,14887,18031
699,14104,14811,18115
700,14064,15016,18150
701,14129,14955,17120
702,14104,14966,17447
703,14121,14964,17475
704,14066,14940,17990
705,14113,14923,17513
706,14125,14778,18054
707,14085,14949,18009
708,14114,14953,17786
709,14066,14940,17115
710,14108,14928,18111
711,14170,14928,17534
712,14179,14897,16922
713,14181,14945,17479
714,14224,15079,17545
715,14199,15044,18099
716,14231,15093,17346
717,14170,14973,18146
718,14140,14948,16911
719,14162,15052,17106
720,14152,15005,17243
721,14193,15069,17730
722,14159,15028,17799
723,14139,14956,17370
724,14106,14862,17929
725,14137,14956,18348
726,14124,14936,17291
727,14125,14978,17981
728,14155,14961,17900
729,14151,14872,17291
730,14125,14916,17903
731,14131,15004,17869
732,14111,14986,17782
733,14132,15015,17952
734,14157,15019,17370
735,14132,14906,18108
736,14142,15000,17395
737,14120,14922,17546
738,14120,15010,17590
739,14124,14925,17495
740,14129,14891,17598
741,14063,15047,18069
742,14118,14846,16663
743,14117,14876,18043
744,14069,14881,17660
745,14123,15078,17974
746,14101,14976,17342
747,14137,15010,17401
748,14125,14937,17892
749,14090,14964,17350
750,14137,14916,17901
751,14130,15006,18077
752,14129,14880,17411
753,14202,14878,18092
754,14104,14933,17350
755,14144,15066,17341
756,14127,14810,17327
757,14153,15098,18172
758,14126,14861,17442
759,14123,15005,18172
760,14126,14998,16858
761,14167,15040,17347
762,14175,14920,17402
763,14188,15114,18006
764,14228,15047,17899
765,14239,14966,16955
766,14113,14947,17975
767,14123,14842,16780
768,14113,14970,17646
769,14180,15019,17972
770,14102,15141,18080
771,14127,14988,18140
772,14104,14877,17473
773,14089,15057,18105
774,14112,14959,17919
775,14153,14983,17219
776,14140,15035,18001
777,14125,14927,17329
778,14125,14963,18034
779,14144,15026,18020
780,14165,14954,17927
781,14163,14911,18081
782,14097,14858,16583
783,14152,14982,17504
784,14168,14837,17407
785,14167,14935,18037
786,14164,14945,18060
787,14147,14935,16805
788,14147,14958,17503
789,14109,15038,17308
790,14114,14950,17499
791,14147,14955,17068
792,14147,14961,17708
793,14183,14920,17000
794,14188,15171,17590
795,14232,15045,17950
796,14233,14934,17432
797,14147,15154,18030
798,14181,14980,17340
799,14177,14948,17371
800,14173,15022,17366
801,14177,14998,17952
802,14135,14928,17136
803,14143,15039,18030
804,14135,15021,17336
805,14188,14994,18034
806,14135,15016,17080
807,14135,15015,18007
808,14138,14900,16780
809,14124,14971,16767
810,14130,14829,17929
811,14127,14892,16746
812,14103,14981,16854
813,14064,14988,17459
814,14127,14991,17972
815,14121,14976,17879
816,14131,14881,17234
817,14123,14985,17505
818,14123,14964,17478
819,14139,14966,18014
820,14123,14988,17117
821,14126,14933,16811
822,14116,14941,17905
823,14158,14932,17196
824,14171,15029,17979
825,14199,15007,17899
826,14246,15016,17954
827,14258,15082,17308
828,14161,14974,17393
829,14182,15025,17205
830,14122,14865,17050
831,14157,14926,17159
832,14191,15040,17934
833,14184,14967,17446
834,14171,15074,17395
835,14181,14977,17340
836,14178,14940,17900
837,14181,15014,16489
838,14127,14983,16844
839,14117,14990,17903
840,14121,14907,17393
841,14193,15111,18066
842,14205,14977,17937
843,14174,15039,17414
844,14110,15051,17392
845,14139,14998,17105
846,14103,14946,17734
847,14131,14987,17283
848,14061,14928,17858
849,14115,14907,17957
850,14145,14886,17411
851,14145,14948,17393
852,14122,14990,18113
853,14122,15023,17229
854,14122,14944,18096
855,14129,15122,18067
856,14139,14977,18220
857,14126,14999,17261
858,14167,14992,17968
859,14101,15117,17989
860,14184,14967,17954
861,14131,14883,17093
862,14141,14796,16582
863,14119,14874,16634
864,14185,14982,16731
865,14222,14941,17232
866,14254,14990,17284
867,14232,15001,17787
868,14147,14897,16865
869,14158,14871,17223
870,14120,14972,17409
871,14135,15008,17866
872,14125,14960,17633
873,14128,14887,16785
874,14156,14993,17510
875,14138,14847,16670
876,14110,15015,17377
877,14192,14882,17212
878,14160,14931,17479
879,14147,14906,17530
880,14197,14894,18214
881,14108,14887,18019
882,14066,14797,17372
883,14106,14836,16847
884,14099,14832,17020
885,14085,14910,17378
886,14138,14896,16905
887,14105,14878,17470
888,14117,14902,17431
889,14101,14917,18101
890,14103,14933,17428
891,14117,15014,17080
892,14136,14946,17950
893,14085,14983,17480
894,14121,14946,17958
895,14115,14881,18036
896,14117,14992,17972
897,14063,14970,17847
898,14124,14938,17127
899,14159,14812,17333
900,14118,15022,17388
901,14092,14910,17480
902,14103,14937,16934
903,14115,14948,18234
904,14136,14875,17294
905,14126,14782,16825
906,14103,14982,18066
907,14061,14831,16484
908,14071,14841,17344
909,14101,14868,17400
910,14117,14977,17442
911,14120,14998,17333
912,14126,14870,18030
913,14120,14906,16983
914,14131,14862,17344
915,14126,14758,16830
916,14123,14992,18070
917,14085,14820,17321
918,14101,14919,17357
919,14089,14895,17383
920,14123,14936,18086
921,14101,14904,17964
922,14109,14961,17436
923,14091,14806,17296
924,14115,14971,17166
925,14120,14972,17876
926,14150,14960,17508
927,14135,14898,17458
928,14165,14965,17400
929,14132,15139,17950
930,14103,15017,17944
931,14148,14970,17071
932,14147,14934,17215
933,14159,14931,17958
934,14087,14922,17908
935,14085,14906,17248
936,14087,14994,17403
937,14107,14973,18185
938,14107,15002,18005
939,14096,14905,18266
940,14128,14974,18058
941,14153,15029,17993
942,14101,15061,18176
943,14138,14986,17139
944,14062,15110,18036
945,14087,14920,16814
946,14137,14753,17399
947,14077,14945,17292
948,14120,15024,17036
949,14147,14894,17896
950,14149,14909,17344
951,14154,14932,17926
952,14147,14921,17272
953,14090,14991,17362
954,14156,14941,17892
955,14168,14876,16496
956,14136,14979,16767
957,14164,15038,17465
958,14127,14966,17277
959,14099,14857,17937
960,14093,14921,17903
961,14114,14994,18047
962,14095,14940,17445
963,14131,14900,17248
964,14163,14981,16922
965,14114,15129,18245
966,14233,14972,16852
967,14169,15076,17881
968,14168,14879,17987
969,14114,14865,17420
970,14155,14890,18172
971,14151,15015,17057
972,14135,14845,16649
973,14103,15041,18006
974,14123,15018,18066
975,14133,15031,17215
976,14113,14825,17315
977,14145,14894,17304
978,14154,15008,18031
979,14152,14972,17005
980,14154,14934,17400
981,14178,14892,17912
982,14111,14937,17682
983,14131,14886,17173
984,14200,15027,17501
985,14198,14979,17321
986,14200,14919,17048
987,14196,14870,17112
988,14155,14890,17151
989,14156,14838,17318
990,14155,15104,18214
991,14118,15072,18072
992,14077,14891,17500
993,14097,14932,17990
994,14103,14856,17288
995,14077,15013,18065
996,14117,15089,18054
997,14117,14914,16999
998,14111,14881,17162
999,14146,14870,18067
