generation,best,avg,worst
379,14095,15018,17255
380,14162,15036,17040
381,14150,15013,17941
382,14156,14943,17184
383,14157,14908,17875
384,14166,15039,17156
385,14181,15053,17945
386,14149,14865,17735
387,14129,14878,16920
388,14132,14830,17201
389,14126,14963,17766
390,14099,14969,17765
391,14135,14866,17145
392,14153,15059,18077
393,14123,14904,17031
394,14142,14929,17659
395,14101,14810,16590
396,14115,14902,17754
397,14095,14975,17076
398,14101,14768,16943
399,14123,14784,16545
400,14101,15032,16915
401,14173,14940,17347
402,14175,15062,17749
403,14251,14940,17923
404,14123,15009,17897
405,14193,14948,17424
406,14181,15048,17970
407,14202,14910,16861
408,14172,15151,18065
409,14129,14935,16930
410,14158,15013,17725
411,14083,14939,17920
412,14197,15045,17351
413,14101,14962,16447
414,14121,15014,17673
415,14181,14958,18049
416,14217,15042,17950
417,14139,14947,17946
418,14127,14912,17649
419,14162,15041,17463
420,14139,14994,17431
421,14151,14875,17340
422,14139,14952,17141
423,14127,15132,17862
424,14123,14963,17887
425,14126,14877,17158
426,14188,14931,17233
427,14115,14913,16717
428,14103,14883,17925
429,14150,14954,17142
430,14113,14909,17993
431,14133,14825,17327
432,14132,14907,17303
433,14066,14987,17158
434,14089,14900,17250
435,14089,14971,17990
436,14089,14827,17911
437,14094,14875,17285
438,14111,14898,17999
439,14072,14776,17327
440,14111,14872,17784
441,14121,15010,17967
442,14142,14912,17250
443,14128,15018,17282
444,14136,15046,17806
445,14146,14946,17244
446,14140,14742,16610
447,14126,14930,17381
448,14115,14952,17369
449,14083,14897,16397
450,14173,14955,17890
451,14157,15278,18163
452,14138,14934,17924
453,14147,15001,17894
454,14178,14904,17955
455,14178,14935,17781
456,14162,14991,18021
457,14126,14927,17709
458,14164,14969,17655
459,14156,14992,17682
460,14109,15033,17403
461,14208,15041,17988
462,14136,14944,18024
463,14121,14779,16831
464,14158,14857,17310
465,14176,15044,17927
466,14144,14928,17171
467,14161,15002,17992
468,14144,14832,17111
469,14110,14924,16914
470,14083,14967,17889
471,14083,14994,17935
472,14110,14897,17947
473,14169,14819,16844
474,14100,14958,16963
475,14083,14876,17416
476,14144,14922,17451
477,14083,14885,17391
478,14083,14948,17723
479,14136,15057,17999
480,14110,14970,17283
481,14100,14894,17916
482,14122,14972,18031
483,14152,14871,16765
484,14125,14875,17429
485,14198,15013,18001
486,14187,15011,18052
487,14152,14892,18155
488,14153,14972,17172
489,14210,15089,17264
490,14129,15123,17883
491,14169,15093,17273
492,14135,14994,17853
493,14132,14952,17283
494,14144,14926,17715
495,14091,14822,16641
496,14129,14973,17902
497,14132,15079,17676
498,14149,15061,17695
499,14145,14873,17257
500,14151,14956,17972
501,14141,14890,17192
502,14130,14949,17223
503,14130,14947,17030
504,14197,15021,17151
505,14167,15109,17302
506,14176,15023,17763
507,14180,15104,17328
508,14174,14987,17932
509,14130,14865,17022
510,14091,14811,16834
511,14101,14885,17278
512,14159,15011,17236
513,14091,14874,18273
514,14134,14912,17417
515,14115,14792,17830
516,14176,14877,17343
517,14125,14834,17446
518,14127,14931,17962
519,14151,15005,17513
520,14160,15019,17983
521,14130,14944,17334
522,14162,14935,16739
523,14179,15007,17920
524,14150,14841,17392
525,14157,14919,17459
526,14110,14897,17088
527,14128,14823,16612
528,14130,15005,17299
529,14101,14904,17401
530,14104,14913,17737
531,14136,14955,17274
532,14137,14868,16796
533,14132,14882,17056
534,14099,14984,17860
535,14099,14871,17229
536,14137,14942,17060
537,14161,14970,17292
538,14159,14889,17906
539,14123,14906,17717
540,14131,14878,17230
541,14105,15109,17930
542,14089,14978,17071
543,14136,15007,18268
544,14125,14896,17203
545,14072,15036,17820
546,14081,14940,17973
547,14191,14947,18041
548,14175,14953,18036
549,14072,14962,17343
550,14089,14930,16897
551,14166,15060,17504
552,14181,15040,18064
553,14166,14970,17086
554,14181,15003,18021
555,14160,15003,17352
556,14136,14830,16300
557,14179,15007,17188
558,14122,15014,17336
559,14083,14905,16645
560,14117,14940,17186
561,14146,14982,17825
562,14090,14977,17277
563,14096,14834,17334
564,14157,15102,17773
565,14150,14988,17773
566,14142,14934,16840
567,14130,14965,16866
568,14115,14888,17175
569,14218,14980,18237
570,14134,14935,17414
571,14145,14944,16899
572,14130,14945,17920
573,14179,14988,17923
574,14130,14976,17817
575,14123,14859,16703
576,14091,15022,17910
577,14131,14779,17169
578,14122,14934,16873
579,14133,14920,17223
580,14138,14972,17282
581,14125,14980,17959
582,14088,15087,17857
583,14119,14928,17156
584,14100,14981,17778
585,14146,15072,18209
586,14113,14906,17113
587,14090,15099,17496
588,14102,14942,17626
589,14149,14912,17865
590,14104,15087,17769
591,14134,15023,17742
592,14172,14935,17686
593,14145,15106,18033
594,14096,14936,17350
595,14115,14859,16810
596,14091,14854,17052
597,14101,14901,17887
598,14104,14797,17209
599,14117,14901,18076
600,14133,14855,16537
601,14161,15036,17972
602,14097,15008,16875
603,14141,14884,16860
604,14097,15037,17896
605,14136,14995,17870
606,14100,14974,17307
607,14110,14928,16910
608,14139,14939,17025
609,14104,14971,17421
610,14139,14831,16513
611,14156,14815,16942
612,14135,14903,17886
613,14141,15183,17982
614,14135,15020,17347
615,14179,15006,17949
616,14135,14860,17766
617,14122,14937,17337
618,14149,14870,17896
619,14138,14992,17914
620,14114,14918,17202
621,14131,14968,17853
622,14141,14999,17963
623,14179,14943,17919
624,14195,15030,17306
625,14179,15132,18222
626,14193,15098,17479
627,14179,15006,18013
628,14148,14990,17378
629,14174,15068,17914
630,14191,15099,17992
631,14123,15087,17811
632,14135,14986,17947
633,14111,14972,17990
634,14209,14913,17205
635,14152,14821,17444
636,14207,14963,17945
637,14207,15042,17310
638,14207,15022,17509
639,14158,15010,17768
640,14141,14969,17579
641,14235,15013,17318
642,14239,15078,17924
643,14234,15030,17381
644,14253,14915,17302
645,14182,14996,18081
646,14213,15064,18159
647,14066,14919,16957
648,14125,14954,17982
649,14099,14954,17675
650,14099,14943,17390
651,14174,14913,16799
652,14099,14996,18075
653,14099,14881,17998
654,14094,14904,17361
655,14066,14900,18111
656,14099,14903,17305
657,14142,14953,17298
658,14083,15069,17771
659,14145,14928,17693
660,14101,14883,16823
661,14140,14882,17323
662,14066,14930,17290
663,14094,14912,17966
664,14081,14892,18043
665,14151,15018,17092
666,14182,14998,17922
667,14188,14957,17764
668,14167,15031,17291
669,14152,14960,16924
670,14189,14980,17883
671,14187,14984,17819
672,14189,14950,16766
673,14104,14892,16738
674,14117,14762,17944
675,14146,14959,17853
676,14115,14981,17399
677,14115,14889,17335
678,14088,14860,17247
679,14115,14835,17186
680,14172,15027,16836
681,14160,14944,17912
682,14153,15084,17806
683,14186,14951,17237
684,14272,14956,17793
685,14158,15019,17822
686,14136,14888,17088
687,14177,14924,17346
688,14141,14988,17436
689,14133,14915,17240
690,14138,15079,17301
691,14196,14828,17363
692,14166,14946,17792
693,14130,15160,17722
694,14147,14788,17149
695,14136,15022,17990
696,14153,14925,17852
