generation,best,avg,worst
426,14310,15143,17983
427,14307,15169,17987
428,14410,15157,18162
429,14298,15020,17926
430,14310,15011,17887
431,14298,15215,18050
432,14304,15038,17623
433,14298,15028,17378
434,14288,15011,17889
435,14298,15198,17024
436,14323,15206,17614
437,14250,15111,18189
438,14247,15116,17278
439,14250,15085,17458
440,14238,15145,17347
441,14270,15038,18085
442,14327,15117,17697
443,14266,15038,17798
444,14281,15038,17413
445,14310,15130,17250
446,14256,15135,17996
447,14278,14957,17539
448,14247,15227,18074
449,14317,15119,18104
450,14299,15096,17346
451,14292,15146,18037
452,14322,15026,18077
453,14334,15084,18096
454,14315,15194,18255
455,14239,15075,17413
456,14260,15144,18081
457,14233,14983,18079
458,14276,15051,17439
459,14292,15031,17270
460,14266,14996,17375
461,14252,15001,17422
462,14279,15002,17301
463,14240,15038,16886
464,14275,15131,17992
465,14240,14986,17123
466,14279,15257,18094
467,14267,14959,17597
468,14259,15130,17402
469,14240,15118,17110
470,14293,15068,17375
471,14255,15038,18054
472,14315,15177,17490
473,14278,15136,17426
474,14315,15091,17035
475,14278,14995,17989
476,14326,15107,17335
477,14332,15067,17457
478,14327,15149,18134
479,14265,15107,17449
480,14261,15182,17199
481,14249,15032,17350
482,14288,15084,17478
483,14279,14999,17329
484,14286,15022,17460
485,14282,15194,17940
486,14260,15038,17292
487,14260,15037,17245
488,14255,15008,17118
489,14298,15306,17992
490,14255,15129,17976
491,14279,15000,16759
492,14268,14908,17615
493,14294,15011,17299
494,14341,15077,17143
495,14303,15112,17549
496,14280,14986,17892
497,14321,15189,17844
498,14308,15184,17372
499,14223,15193,17980
500,14289,15170,17579
501,14279,15035,17864
502,14243,15042,17907
503,14243,14975,17910
504,14264,14950,17260
505,14306,15083,17953
506,14305,15098,16983
507,14250,15085,18038
508,14253,15043,17809
509,14280,15013,17325
510,14262,14951,17313
511,14247,14899,17871
512,14283,15057,18118
513,14249,14951,16978
514,14273,15153,17833
515,14245,15091,17669
516,14286,15096,17313
517,14310,15028,17141
518,14304,15014,17438
519,14240,14937,17470
520,14248,15025,17130
521,14271,15063,18254
522,14273,15116,17337
523,14295,15129,18105
524,14239,15028,17315
525,14248,15080,17811
526,14226,15089,18023
527,14246,14999,16890
528,14246,15161,18026
529,14270,15030,17443
530,14280,15035,17453
531,14270,15193,17834
532,14328,15106,17396
